country,lifeExp,pop,continent
Afghanistan,43.828,31889923,Asia
Albania,76.423,3600523,Europe
Algeria,72.301,33333216,Africa
Angola,42.731,12420476,Africa
Argentina,75.32,40301927,Americas
Australia,81.235,20434176,Oceania
Austria,79.829,8199783,Europe
Bahrain,75.635,708573,Asia
Bangladesh,64.062,150448339,Asia
Belgium,79.441,10392226,Europe
Benin,56.728,8078314,Africa
Bolivia,65.554,9119152,Americas
Bosnia and Herzegovina,74.852,4552198,Europe
Botswana,50.728,1639131,Africa
Brazil,72.39,190010647,Americas
Bulgaria,73.005,7322858,Europe
Burkina Faso,52.295,14326203,Africa
Burundi,49.58,8390505,Africa
Cambodia,59.723,14131858,Asia
Cameroon,50.43,17696293,Africa
