country,gdpPercap,lifeExp,continent,pop
Afghanistan,974.5803384,43.828,Asia,31889923
Albania,5937.029526,76.423,Europe,3600523
Algeria,6223.367465,72.301,Africa,33333216
Angola,4797.231267,42.731,Africa,12420476
Argentina,12779.37964,75.32,Americas,40301927
Australia,34435.36744,81.235,Oceania,20434176
Austria,36126.4927,79.829,Europe,8199783
Bahrain,29796.04834,75.635,Asia,708573
Bangladesh,1391.253792,64.062,Asia,150448339
Belgium,33692.60508,79.441,Europe,10392226
Benin,1441.284873,56.728,Africa,8078314
Bolivia,3822.137084,65.554,Americas,9119152
Bosnia and Herzegovina,7446.298803,74.852,Europe,4552198
Botswana,12569.85177,50.728,Africa,1639131
Brazil,9065.800825,72.39,Americas,190010647
Bulgaria,10680.79282,73.005,Europe,7322858
Burkina Faso,1217.032994,52.295,Africa,14326203
Burundi,430.0706916,49.58,Africa,8390505
Cambodia,1713.778686,59.723,Asia,14131858
